id_match,names,home_away,managers,formations,attendance,date,stadium,championship,edition,country,score,goals,goals_past,total_shots,woodwork,shots_on_target,shots_off_target,blocked_shots,total_possession,touches,total_passes,accurate_passes,pass_success,key_passes,dribbles_attempted,dibles,dribbles_past,dribbles_success,aerials_won,aerial_success,offensive_aerials,defensive_aerials,tackles,tackle_success,tackles_attempted,was_dribbled,clearances,interceptions,corners,corner_accuracy,dispossessed,errors,fouls,offsides,start_minutes,end_minutes
144,Corinthians,1,Manager:Sylvio Mendes Campos Junior,4-1-4-1,stadium_clmn_attend:0,08-Ago-21,stadium_clmn_venue: Estádio Vila Belmiro (Urbano Caldeira),Campeonato Brasileiro,2021,Brazil,0 - 0,0,0,9,0,5,2,2,43.0,613,426,358,84,9,11,6,9,55,13,62,10,11,15,63,24,9,21,11,3,33,8,0,9,1,0,90
145,America MG,0,Manager:Vágner Mancini,4-2-3-1,stadium_clmn_attend:0,08-Ago-21,stadium_clmn_venue: Estádio Raimundo Sampaio (Independência),Campeonato Brasileiro,2021,Brazil,1 - 0,1,0,15,0,7,3,5,44.5,562,365,282,77,12,17,9,7,53,17,55,18,13,13,65,20,7,18,10,4,75,11,0,17,1,0,90
145,Fluminense,1,Manager:Roger Machado Marques,4-2-3-1,stadium_clmn_attend:0,08-Ago-21,stadium_clmn_venue: Estádio Raimundo Sampaio (Independência),Campeonato Brasileiro,2021,Brazil,1 - 0,0,1,7,0,2,3,2,55.5,660,462,368,80,6,12,7,9,58,14,45,13,18,19,68,28,9,11,7,8,25,8,1,13,1,0,90
146,Sao Paulo,0,Manager:Hernan Crespo,3-4-1-2,stadium_clmn_attend:0,15-Ago-21,stadium_clmn_venue: Estadio Cicero Pompeu de Toledo (Morumbi),Campeonato Brasileiro,2021,Brazil,2 - 1,2,1,12,1,6,3,3,63.7,728,553,466,84,8,10,8,8,80,17,45,16,22,10,56,18,8,10,10,6,0,10,0,14,2,0,90
146,Gremio,1,Manager:Luiz Felipe Scolari,4-2-3-1,stadium_clmn_attend:0,15-Ago-21,stadium_clmn_venue: Estadio Cicero Pompeu de Toledo (Morumbi),Campeonato Brasileiro,2021,Brazil,2 - 1,1,2,9,0,3,3,3,36.3,490,312,229,73,6,11,8,8,73,21,55,21,17,12,60,20,8,24,14,2,100,7,0,16,1,0,90
147,Cuiaba,0,Manager:Jorge José de Amorim Campos Oliveira,4-2-3-1,stadium_clmn_attend:0,08-Ago-21,stadium_clmn_venue: Arena Pantanal,Campeonato Brasileiro,2021,Brazil,1 - 1,1,1,11,0,2,5,4,40.3,484,315,239,76,9,8,6,4,75,17,57,12,18,11,73,15,4,24,12,4,75,10,0,15,2,0,90
147,Bahia,1,Manager:Luis Eduardo Barros Cavalcanti,4-1-3-2,stadium_clmn_attend:0,08-Ago-21,stadium_clmn_venue: Arena Pantanal,Campeonato Brasileiro,2021,Brazil,1 - 1,1,1,9,0,4,2,3,59.7,619,455,382,84,8,9,4,6,44,13,43,18,12,12,67,18,6,9,11,11,36,6,0,17,5,0,90
148,Juventude,0,Manager:Marcos Vinícius dos Santos Gonçalves,4-2-3-1,stadium_clmn_attend:0,08-Ago-21,stadium_clmn_venue: Alfredo Jaconi,Campeonato Brasileiro,2021,Brazil,1 - 2,1,2,6,0,1,1,4,34.8,501,310,234,75,3,24,18,10,75,18,51,23,12,13,57,23,10,26,10,4,50,13,0,17,1,0,90
148,Atletico MG,1,Manager:Alexi Stival Beludo,4-2-3-1,stadium_clmn_attend:0,08-Ago-21,stadium_clmn_venue: Alfredo Jaconi,Campeonato Brasileiro,2021,Brazil,1 - 2,2,1,20,0,4,7,9,65.2,775,586,518,88,12,14,10,18,71,17,49,12,23,19,51,37,18,14,7,5,20,9,0,14,2,0,90
149,Corinthians,0,Manager:Sylvio Mendes Campos Junior,4-3-3,stadium_clmn_attend:0,15-Ago-21,stadium_clmn_venue: Neo Química Arena,Campeonato Brasileiro,2021,Brazil,3 - 1,3,1,7,0,3,3,1,60.7,814,631,553,88,7,15,8,17,53,22,63,14,21,14,45,31,17,16,14,7,43,14,0,7,0,0,90
149,Ceara,1,Manager:Augusto Sérgio Ferreira,4-2-3-1,stadium_clmn_attend:0,15-Ago-21,stadium_clmn_venue: Neo Química Arena,Campeonato Brasileiro,2021,Brazil,3 - 1,1,3,15,0,6,5,4,39.3,591,399,319,80,11,19,17,8,89,13,37,21,14,21,72,29,8,14,12,6,50,12,0,16,0,0,90
15,Flamengo,0,Manager:Rogério Mücke Ceni,4-2-3-1,stadium_clmn_attend:0,13-Jun-21,stadium_clmn_venue: Estadio do Maracanã,Campeonato Brasileiro,2021,Brazil,2 - 0,2,0,20,1,6,8,6,64.5,875,672,596,89,14,24,17,16,71,16,80,12,8,12,43,28,16,5,13,4,25,14,0,17,3,0,90
