id_match,names,home_away,managers,formations,attendance,date,stadium,championship,edition,country,score,goals,goals_past,total_shots,woodwork,shots_on_target,shots_off_target,blocked_shots,total_possession,touches,total_passes,accurate_passes,pass_success,key_passes,dribbles_attempted,dibles,dribbles_past,dribbles_success,aerials_won,aerial_success,offensive_aerials,defensive_aerials,tackles,tackle_success,tackles_attempted,was_dribbled,clearances,interceptions,corners,corner_accuracy,dispossessed,errors,fouls,offsides,start_minutes,end_minutes
1082,Lazio,1,Manager:Maurizio Sarri,4-3-3,"stadium_clmn_attend:10,873", 05-Mac-22,stadium_clmn_venue: Unipol Domus,Serie A,2021-2022,Italy,0 - 3,3,0,13,0,5,5,3,55.5,758,558,449,80,10,10,7,10,70,17,65,9,17,16,62,26,10,30,17,6,83,12,0,13,1,0,90
1083,Fiorentina,0,Manager:Vincenzo Italiano,4-3-3,stadium_clmn_attend:0,06-Mac-22,stadium_clmn_venue: Artemio Franchi,Serie A,2021-2022,Italy,1 - 1,1,1,8,0,2,4,2,50.6,531,368,286,78,6,12,7,7,58,17,47,22,14,7,50,14,7,4,9,4,50,8,0,15,0,0,90
1083,Verona,1,Manager:Igor Tudor,3-4-1-2,stadium_clmn_attend:0,06-Mac-22,stadium_clmn_venue: Artemio Franchi,Serie A,2021-2022,Italy,1 - 1,1,1,2,0,2,0,0,49.4,526,374,273,73,1,11,7,7,64,19,53,14,22,13,65,20,7,14,12,2,100,3,0,15,4,0,90
1084,Genoa,0,Manager:Alexander Blessin,4-2-3-1,"stadium_clmn_attend:14,935",06-Mac-22,stadium_clmn_venue: Luigi Ferraris,Serie A,2021-2022,Italy,0 - 0,0,0,18,0,7,9,2,52.5,670,397,283,71,14,19,8,10,42,27,63,27,16,18,64,28,10,8,10,7,57,15,1,15,2,0,90
1084,Empoli,1,Manager:Aurelio Andreazzoli,4-3-2-1,"stadium_clmn_attend:14,935",06-Mac-22,stadium_clmn_venue: Luigi Ferraris,Serie A,2021-2022,Italy,0 - 0,0,0,8,0,2,3,3,47.5,600,373,235,63,4,20,10,8,50,16,37,16,27,26,76,34,8,33,5,2,50,8,0,19,0,0,90
1085,Inter,0,Manager:Simone Inzaghi,3-5-2,"stadium_clmn_attend:46,287",04-Mac-22,stadium_clmn_venue: Giuseppe Meazza,Serie A,2021-2022,Italy,5 - 0,5,0,23,1,12,4,7,60.0,698,537,474,88,18,16,11,14,69,7,41,7,10,22,61,36,14,8,9,10,50,5,0,11,4,0,90
1085,Salernitana,1,Manager:Davide Nicola,4-2-3-1,"stadium_clmn_attend:46,287",04-Mac-22,stadium_clmn_venue: Giuseppe Meazza,Serie A,2021-2022,Italy,5 - 0,0,5,11,0,3,4,4,40.0,549,355,297,84,9,22,14,11,64,10,59,10,7,10,48,21,11,16,8,3,67,14,0,7,1,0,90
1086,Juventus,0,Manager:Massimiliano Allegri,4-4-2,"stadium_clmn_attend:26,475",06-Mac-22,stadium_clmn_venue: Allianz Stadium,Serie A,2021-2022,Italy,1 - 0,1,0,10,0,3,2,5,56.4,762,579,513,89,9,15,12,7,80,9,45,11,9,21,75,28,7,14,7,4,25,6,0,14,3,0,90
1086,Spezia,1,Manager:Thiago Motta,4-2-3-1,"stadium_clmn_attend:26,475",06-Mac-22,stadium_clmn_venue: Allianz Stadium,Serie A,2021-2022,Italy,1 - 0,0,1,9,0,4,4,1,43.6,608,438,370,84,6,17,7,12,41,11,55,9,11,9,43,21,12,10,11,4,25,11,0,12,1,0,90
1087,Napoli,0,Manager:Luciano Spalletti,4-2-3-1,stadium_clmn_attend:0,06-Mac-22,stadium_clmn_venue: Diego Armando Maradona,Serie A,2021-2022,Italy,0 - 1,0,1,9,0,2,6,1,60.1,731,546,472,86,6,15,8,10,53,13,54,13,11,18,64,28,10,8,8,6,50,11,0,7,1,0,90
1087,AC Milan,1,Manager:Stefano Pioli,4-3-3,stadium_clmn_attend:0,06-Mac-22,stadium_clmn_venue: Diego Armando Maradona,Serie A,2021-2022,Italy,0 - 1,1,0,12,0,7,2,3,39.9,533,354,272,77,9,22,10,8,45,11,46,11,13,18,69,26,8,15,10,7,43,6,0,15,0,0,90
1088,Roma,0,Manager:José Mourinho,3-4-1-2,stadium_clmn_attend:0, 05-Mac-22,stadium_clmn_venue: Olimpico,Serie A,2021-2022,Italy,1 - 0,1,0,13,0,4,3,6,35.1,531,310,230,74,7,21,16,18,76,5,25,14,6,23,56,41,18,14,15,6,50,6,0,17,3,0,90
1088,Atalanta,1,Manager:Gian Piero Gasperini,4-2-3-1,stadium_clmn_attend:0, 05-Mac-22,stadium_clmn_venue: Olimpico,Serie A,2021-2022,Italy,1 - 0,0,1,7,0,4,1,2,64.9,818,592,508,86,6,30,18,16,60,15,75,6,14,11,41,27,16,13,7,3,67,11,1,16,4,0,90
1089,Udinese,0,Manager:Gabriele Cioffi,3-5-2,"stadium_clmn_attend:12,405", 05-Mac-22,stadium_clmn_venue: Dacia Arena,Serie A,2021-2022,Italy,2 - 1,2,1,19,1,5,9,5,42.4,572,359,267,74,14,15,11,5,73,11,38,17,12,16,76,21,5,17,12,11,73,12,1,20,4,0,90
1089,Sampdoria,1,Manager:Marco Giampaolo,4-1-2-1-2,"stadium_clmn_attend:12,405", 05-Mac-22,stadium_clmn_venue: Dacia Arena,Serie A,2021-2022,Italy,2 - 1,1,2,8,0,4,4,0,57.6,704,500,392,78,6,12,5,11,42,18,62,12,17,16,59,27,11,17,12,4,25,9,0,14,1,0,90
1090,Venezia,0,Manager:Paolo Zanetti,4-3-1-2,"stadium_clmn_attend:5,732",06-Mac-22,stadium_clmn_venue: Pier Luigi Penzo,Serie A,2021-2022,Italy,1 - 4,1,4,16,0,5,5,6,44.7,582,373,301,81,11,19,12,12,63,9,50,12,6,20,63,32,12,6,9,8,38,11,1,18,7,0,90
