id_match,names,home_away,managers,formations,attendance,date,stadium,championship,edition,country,score,goals,goals_past,total_shots,woodwork,shots_on_target,shots_off_target,blocked_shots,total_possession,touches,total_passes,accurate_passes,pass_success,key_passes,dribbles_attempted,dibles,dribbles_past,dribbles_success,aerials_won,aerial_success,offensive_aerials,defensive_aerials,tackles,tackle_success,tackles_attempted,was_dribbled,clearances,interceptions,corners,corner_accuracy,dispossessed,errors,fouls,offsides,start_minutes,end_minutes
420,Wolves,1,Manager:Bruno Lage,3-4-3,"stadium_clmn_attend:20,019", 11-Sep-21,stadium_clmn_venue: Vicarage Road,Premier League,2021-2022,England,0 - 2,2,0,14,0,5,6,3,56.0,682,485,428,88,11,30,19,14,63,5,29,6,11,19,58,33,14,18,9,8,63,9,0,13,2,0,90
421,Aston Villa,0,Manager:Dean Smith,5-3-2,"stadium_clmn_attend:41,888", 18-Sep-21,stadium_clmn_venue: Villa Park,Premier League,2021-2022,England,3 - 0,3,0,15,0,3,6,6,55.6,573,384,308,80,10,26,13,6,50,24,60,22,18,10,63,16,6,9,9,5,60,9,0,7,0,0,90
421,Everton,1,Manager:Rafael Benítez,4-4-1-1,"stadium_clmn_attend:41,888", 18-Sep-21,stadium_clmn_venue: Villa Park,Premier League,2021-2022,England,3 - 0,0,3,11,0,1,5,5,44.4,477,310,228,74,9,11,6,13,55,16,40,18,22,22,63,35,13,17,6,4,100,5,0,10,2,0,90
422,Brighton,0,Manager:Graham Potter,4-4-2,"stadium_clmn_attend:31,078",19-Sep-21,stadium_clmn_venue: Amex Stadium,Premier League,2021-2022,England,2 - 1,2,1,12,0,5,4,3,37.1,533,322,245,76,9,27,16,12,59,18,62,15,14,19,61,31,12,29,16,4,50,6,0,8,3,0,90
422,Leicester,1,Manager:Brendan Rodgers,4-3-3,"stadium_clmn_attend:31,078",19-Sep-21,stadium_clmn_venue: Amex Stadium,Premier League,2021-2022,England,2 - 1,1,2,14,0,3,5,6,62.9,743,549,471,86,13,16,12,16,75,11,38,14,15,17,52,33,16,11,10,9,56,15,0,10,2,0,90
423,Burnley,0,Manager:Sean Dyche,4-4-2,"stadium_clmn_attend:21,944", 18-Sep-21,stadium_clmn_venue: Turf Moor,Premier League,2021-2022,England,0 - 1,0,1,18,0,3,10,5,45.0,604,392,291,74,11,7,3,5,43,29,57,41,10,13,72,18,5,15,16,8,50,14,0,9,4,0,90
423,Arsenal,1,Manager:Mikel Arteta,4-1-4-1,"stadium_clmn_attend:21,944", 18-Sep-21,stadium_clmn_venue: Turf Moor,Premier League,2021-2022,England,0 - 1,1,0,13,0,3,4,6,55.0,731,523,420,80,9,13,5,3,38,22,43,10,41,18,86,21,3,33,11,3,67,5,1,8,2,0,90
424,Liverpool,0,Manager:Jürgen Klopp,4-3-3,"stadium_clmn_attend:52,985", 18-Sep-21,stadium_clmn_venue: Anfield,Premier League,2021-2022,England,3 - 0,3,0,25,0,10,5,10,59.9,727,490,412,84,14,21,12,7,57,21,75,14,14,21,75,28,7,27,10,10,50,15,1,17,1,0,90
424,Crystal Palace,1,Manager:Patrick Vieira,4-3-3,"stadium_clmn_attend:52,985", 18-Sep-21,stadium_clmn_venue: Anfield,Premier League,2021-2022,England,3 - 0,0,3,13,1,2,5,6,40.1,572,332,253,76,10,17,7,12,41,7,25,14,14,24,67,36,12,24,12,5,60,11,0,11,3,0,90
425,Man City,0,Manager:Josep Guardiola,4-3-3,"stadium_clmn_attend:52,698", 18-Sep-21,stadium_clmn_venue: Etihad Stadium,Premier League,2021-2022,England,0 - 0,0,0,16,0,1,8,7,63.9,770,555,484,87,12,25,13,13,52,22,59,11,26,13,50,26,13,14,8,8,75,9,0,5,4,0,90
425,Southampton,1,Manager:Ralph Hasenhüttl,4-4-2,"stadium_clmn_attend:52,698", 18-Sep-21,stadium_clmn_venue: Etihad Stadium,Premier League,2021-2022,England,0 - 0,0,0,10,0,2,2,6,36.1,499,319,239,75,8,18,13,13,72,15,41,26,11,21,62,34,13,23,17,5,20,8,0,12,0,0,90
426,Newcastle,0,Manager:Steve Bruce,5-4-1,"stadium_clmn_attend:50,407",17-Sep-21,stadium_clmn_venue: St. James' Park,Premier League,2021-2022,England,1 - 1,1,1,17,0,7,8,2,35.4,488,301,211,70,13,15,7,11,47,14,61,16,7,17,61,28,11,28,9,4,50,11,0,9,1,0,90
426,Leeds,1,Manager:Marcelo Bielsa,4-1-4-1,"stadium_clmn_attend:50,407",17-Sep-21,stadium_clmn_venue: St. James' Park,Premier League,2021-2022,England,1 - 1,1,1,22,0,9,9,4,64.6,745,541,460,85,18,20,11,7,55,9,39,7,16,19,73,26,7,14,6,5,0,8,1,11,1,0,90
